"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 10718615, SEN S/N: 10718615, LBL: Porros_20m_05022021)"	"Acoplador separado (LGR S/N: 10718615, SEN S/N: 10718615)"	"Acoplador adjunto (LGR S/N: 10718615, SEN S/N: 10718615)"	"Host conectado (LGR S/N: 10718615, SEN S/N: 10718615)"	"Parado (LGR S/N: 10718615, SEN S/N: 10718615)"	"Final de archivo (LGR S/N: 10718615, SEN S/N: 10718615)"
574	01/03/21	09:00:00	14.050					
575	01/03/21	10:00:00	14.026					
576	01/03/21	11:00:00	14.242					
577	01/03/21	12:00:00	14.122					
578	01/03/21	13:00:00	14.050					
579	01/03/21	14:00:00	14.026					
580	01/03/21	15:00:00	14.002					
581	01/03/21	16:00:00	14.002					
582	01/03/21	17:00:00	14.002					
583	01/03/21	18:00:00	13.954					
584	01/03/21	19:00:00	13.978					
585	01/03/21	20:00:00	13.954					
586	01/03/21	21:00:00	13.954					
587	01/03/21	22:00:00	14.002					
588	01/03/21	23:00:00	14.098					
589	02/03/21	00:00:00	14.002					
590	02/03/21	01:00:00	14.002					
591	02/03/21	02:00:00	13.978					
592	02/03/21	03:00:00	14.002					
593	02/03/21	04:00:00	13.954					
594	02/03/21	05:00:00	13.978					
595	02/03/21	06:00:00	13.978					
596	02/03/21	07:00:00	13.954					
597	02/03/21	08:00:00	13.954					
598	02/03/21	09:00:00	13.978					
599	02/03/21	10:00:00	13.978					
600	02/03/21	11:00:00	13.978					
601	02/03/21	12:00:00	13.954					
602	02/03/21	13:00:00	13.930					
603	02/03/21	14:00:00	13.906					
604	02/03/21	15:00:00	13.906					
605	02/03/21	16:00:00	13.954					
606	02/03/21	17:00:00	13.978					
607	02/03/21	18:00:00	13.930					
608	02/03/21	19:00:00	13.930					
609	02/03/21	20:00:00	13.954					
610	02/03/21	21:00:00	13.954					
611	02/03/21	22:00:00	13.954					
612	02/03/21	23:00:00	13.954					
613	03/03/21	00:00:00	13.930					
614	03/03/21	01:00:00	13.930					
615	03/03/21	02:00:00	13.930					
616	03/03/21	03:00:00	13.930					
617	03/03/21	04:00:00	13.930					
618	03/03/21	05:00:00	13.930					
619	03/03/21	06:00:00	13.930					
620	03/03/21	07:00:00	13.930					
621	03/03/21	08:00:00	13.930					
622	03/03/21	09:00:00	13.930					
623	03/03/21	10:00:00	13.954					
624	03/03/21	11:00:00	13.930					
625	03/03/21	12:00:00	13.954					
626	03/03/21	13:00:00	13.954					
627	03/03/21	14:00:00	14.002					
628	03/03/21	15:00:00	14.002					
629	03/03/21	16:00:00	14.002					
630	03/03/21	17:00:00	14.002					
631	03/03/21	18:00:00	14.026					
632	03/03/21	19:00:00	14.050					
633	03/03/21	20:00:00	14.026					
634	03/03/21	21:00:00	14.074					
635	03/03/21	22:00:00	14.098					
636	03/03/21	23:00:00	14.050					
637	04/03/21	00:00:00	14.074					
638	04/03/21	01:00:00	14.098					
639	04/03/21	02:00:00	14.098					
640	04/03/21	03:00:00	14.098					
641	04/03/21	04:00:00	14.050					
642	04/03/21	05:00:00	14.002					
643	04/03/21	06:00:00	14.002					
644	04/03/21	07:00:00	14.002					
645	04/03/21	08:00:00	14.026					
646	04/03/21	09:00:00	14.026					
647	04/03/21	10:00:00	14.050					
648	04/03/21	11:00:00	14.050					
649	04/03/21	12:00:00	14.074					
650	04/03/21	13:00:00	14.050					
651	04/03/21	14:00:00	14.074					
652	04/03/21	15:00:00	14.098					
653	04/03/21	16:00:00	14.098					
654	04/03/21	17:00:00	14.074					
655	04/03/21	18:00:00	14.050					
656	04/03/21	19:00:00	14.050					
657	04/03/21	20:00:00	14.026					
658	04/03/21	21:00:00	14.026					
659	04/03/21	22:00:00	14.026					
660	04/03/21	23:00:00	14.074					
661	05/03/21	00:00:00	14.050					
662	05/03/21	01:00:00	14.074					
663	05/03/21	02:00:00	14.122					
664	05/03/21	03:00:00	14.146					
665	05/03/21	04:00:00	14.122					
666	05/03/21	05:00:00	14.146					
667	05/03/21	06:00:00	14.122					
668	05/03/21	07:00:00	14.098					
669	05/03/21	08:00:00	14.146					
670	05/03/21	09:00:00	14.122					
671	05/03/21	10:00:00	14.146					
